VIN (1-10),County,City,State,Postal Code,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract,Model Year_2008,Model Year_2010,Model Year_2011,Model Year_2012,Model Year_2013,Model Year_2014,Model Year_2015,Model Year_2016,Model Year_2017,Model Year_2018,Model Year_2019,Model Year_2020,Make_BMW,Make_CADILLAC,Make_CHRYSLER,Make_FISKER,Make_KIA,Make_MINI,Make_PORSCHE,Make_SUBARU,Make_TESLA,Make_VOLVO,Make_WHEEGO ELECTRIC CARS,Model_330E,Model_530E,Model_740E,Model_918,Model_CAYENNE,Model_COUNTRYMAN,Model_CROSSTREK,Model_CT6,Model_KARMA,Model_MODEL S,Model_PACIFICA,Model_PANAMERA,Model_ROADSTER,Model_SOUL,Model_SOUL EV,Model_WHEEGO,Model_XC60,Model_XC90,Electric Vehicle Type_Battery Electric Vehicle (BEV),Electric Vehicle Type_Plug-in Hybrid Electric Vehicle (PHEV)
5YJSA1CG3D,Pierce,Lake Tapps,WA,98391.0,Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,31.0,120104057,POINT (-122.17144 47.19175),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070307.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
WBA8E1C35H,King,Renton,WA,98058.0,Not eligible due to low battery range,14.0,44100.0,11.0,257375716,POINT (-122.08747 47.4466),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025804.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
KNDJX3AE5G,Clark,Vancouver,WA,98686.0,Clean Alternative Fuel Vehicle Eligible,93.0,31950.0,49.0,258948742,POINT (-122.62731 45.71668),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040803.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
LYVBR0DM7K,Lewis,Winlock,WA,98596.0,Not eligible due to low battery range,17.0,52900.0,20.0,211685701,POINT (-122.93881 46.49114),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53041971501.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
LREKK5RX2J,Pierce,Orting,WA,98360.0,Clean Alternative Fuel Vehicle Eligible,31.0,75095.0,2.0,141072921,POINT (-122.20166 47.09596),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070100.0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
WBAJB1C50J,Kitsap,Bremerton,WA,98310.0,Not eligible due to low battery range,14.0,54950.0,23.0,119581738,POINT (-122.61136 47.5752),PUGET SOUND ENERGY INC,53035080102.0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5YJSA1H13E,King,Sammamish,WA,98074.0,Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,45.0,260953178,POINT (-122.02054 47.60326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032216.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
WMZYU7C53K,King,Seattle,WA,98119.0,Not eligible due to low battery range,12.0,36900.0,36.0,204632221,POINT (-122.3684 47.64586),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006900.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5YJSA1DP3D,Skagit,Burlington,WA,98233.0,Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,40.0,124896054,POINT (-122.33029 48.46846),PUGET SOUND ENERGY INC,53057951600.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
5YJSA1CN1D,Whitman,Pullman,WA,99163.0,Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,9.0,131932041,POINT (-117.18147 46.73015),AVISTA CORP,53075000202.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
